date,title,description,location,url_thumb,url_full
2015-02-11,L'homme d'affaires et la mer,Un homme consulte son téléphone sur une plage de la Floride.,Fort Lauderdale,/img/photos/travel/20150211-travel-philboivin-001.jpg,/img/photos/travel/20150211-travel-philboivin-001.jpg
2015-06-07,Big Island,,Hawaii,/img/photos/travel/20150607-travel-philboivin-002.jpg,/img/photos/travel/20150607-travel-philboivin-002.jpg
2015-06-16,Meiji Jingu Shrine,,Tokyo,/img/photos/travel/20150616-travel-philboivin-003.jpg,/img/photos/travel/20150616-travel-philboivin-003.jpg
2015-06-16,Bannières,Near Takeshita Street,Tokyo,/img/photos/travel/20150616-travel-philboivin-004.jpg,/img/photos/travel/20150616-travel-philboivin-004.jpg
2015-06-16,Imperial Guard Headquarters,"100-0001 Tokyo, Chiyoda City",Tokyo,/img/photos/travel/20150616-travel-philboivin-005.jpg,/img/photos/travel/20150616-travel-philboivin-005.jpg
2015-06-17,Senso-Ji Temple,,Tokyo,/img/photos/travel/20150617-travel-philboivin-006.jpg,/img/photos/travel/20150617-travel-philboivin-006.jpg
2015-06-17,Tsukiji Market,,Tokyo,/img/photos/travel/20150617-travel-philboivin-007.jpg,/img/photos/travel/20150617-travel-philboivin-007.jpg
2015-06-24,Étudiants japonais,Un groupe d'étudiants attend dans une station de métro,Kyoto,/img/photos/travel/20150624-travel-philboivin-008.jpg,/img/photos/travel/20150624-travel-philboivin-008.jpg
2015-06-25,Fatigue,Un homme bâille en attendant l'autobus.,Kyoto,/img/photos/travel/20150625-travel-philboivin-009.jpg,/img/photos/travel/20150625-travel-philboivin-009.jpg
2015-06-30,Lanternes,Un homme observe les lanternes au Teramachi Street Shopping District,Kyoto,/img/photos/travel/20150630-travel-philboivin-010.jpg,/img/photos/travel/20150630-travel-philboivin-010.jpg
2015-07-01,L'ombre rouge,Un femme marche dans le district rouge de Kyoto (Pontocho Alley),Kyoto,/img/photos/travel/20150701-travel-philboivin-011.jpg,/img/photos/travel/20150701-travel-philboivin-011.jpg
2015-07-05,Curieux,Un enfant intéragit avec un chevreuil dans Nara Park,Nara,/img/photos/travel/20150705-travel-philboivin-012.jpg,/img/photos/travel/20150705-travel-philboivin-012.jpg
2015-07-08,Contraste,Deux hommes lisent dans un train d’Osaka.,Osaka,/img/photos/travel/20150708-travel-philboivin-013.jpg,/img/photos/travel/20150708-travel-philboivin-013.jpg
2015-07-10,Rose nanane,Un marchand de poisson dans le quartier Korea Town (Tsuruhashi),Osaka,/img/photos/travel/20150710-travel-philboivin-014.jpg,/img/photos/travel/20150710-travel-philboivin-014.jpg
2015-07-15,Basket,Un jeune joueur de basketball pose sur le terrain de sport des jardins Saint-Paul.,Paris,/img/photos/travel/20150715-travel-philboivin-015.jpg,/img/photos/travel/20150715-travel-philboivin-015.jpg
2015-07-16,Mona Lisa,Un visiteur photographie la célèbre Joconde au Musée du Louvre.,Paris,/img/photos/travel/20150716-travel-philboivin-016.jpg,/img/photos/travel/20150716-travel-philboivin-016.jpg
2015-07-17,Les amoureux de la Place des Vosges,,Paris,/img/photos/travel/20150717-travel-philboivin-017.jpg,/img/photos/travel/20150717-travel-philboivin-017.jpg
2015-07-18,Corde à danser,Un boxeur s'entraine sur le bord de la Seine.,Paris,/img/photos/travel/20150718-travel-philboivin-018.jpg,/img/photos/travel/20150718-travel-philboivin-018.jpg
2015-07-21,Le miroir d'eau,Un jeune homme marche sur le miroir d'eau devant la Place de la Bourse.,Bordeaux,/img/photos/travel/20150721-travel-philboivin-019.jpg,/img/photos/travel/20150721-travel-philboivin-019.jpg
2015-07-23,Place de la Bourse,Un enfant s'amuse et saute sur le miroir d'eau.,Bordeaux,/img/photos/travel/20150723-travel-philboivin-020.jpg,/img/photos/travel/20150723-travel-philboivin-020.jpg
2015-07-27,Turquoise,Charlie pose avec son chien Ouykka,Bordeaux,/img/photos/travel/20150727-travel-philboivin-021.jpg,/img/photos/travel/20150727-travel-philboivin-021.jpg
2015-08-03,Mur de Berlin,,Berlin,/img/photos/travel/20150803-travel-philboivin-022.jpg,/img/photos/travel/20150803-travel-philboivin-022.jpg
2015-08-05,Ennuyé,Alte Nationalgalerie,Berlin,/img/photos/travel/20150805-travel-philboivin-023.jpg,/img/photos/travel/20150805-travel-philboivin-023.jpg
2015-08-06,Memorial,Memorial to the Murdered Jews of Europe,Berlin,/img/photos/travel/20150806-travel-philboivin-024.jpg,/img/photos/travel/20150806-travel-philboivin-024.jpg
2015-08-06,Chambre froide,Jewish Museum Berlin,Berlin,/img/photos/travel/20150806-travel-philboivin-025.jpg,/img/photos/travel/20150806-travel-philboivin-025.jpg
2015-08-08,Gestapo,Topography of Terror,Berlin,/img/photos/travel/20150808-travel-philboivin-026.jpg,/img/photos/travel/20150808-travel-philboivin-026.jpg
2015-08-21,Vélo cargo,Près de la communauté de Christiana,Copenhagen,/img/photos/travel/20150821-travel-philboivin-027.jpg,/img/photos/travel/20150821-travel-philboivin-027.jpg
2015-08-26,Fatiguée,Aéroport de Madrid,Madrid,/img/photos/travel/20150826-travel-philboivin-028.jpg,/img/photos/travel/20150826-travel-philboivin-028.jpg
2015-08-26,Cour intérieure,Palais royal de Madrid,Madrid,/img/photos/travel/20150826-travel-philboivin-029.jpg,/img/photos/travel/20150826-travel-philboivin-029.jpg
4 février 2015,Bain de soleil...,Un homme fait une sieste sous le soleil de la Floride.,Fort Lauderdale,/img/photos/travel/20150204-editorial-philboivin-006.jpg,/img/photos/travel/20150204-editorial-philboivin-006.jpg
